state,action
[ 1 -1  0  0  0  0  0  0  0],-4.907965835100877
[ 1  0 -1  0  0  0  0  0  0],-4.948744503304823
[ 1  0  0 -1  0  0  0  0  0],-5.3144100000000005
[ 1  0  0  0 -1  0  0  0  0],-6.1945294401
[ 1  0  0  0  0 -1  0  0  0],-6.097495717004571
[ 1  0  0  0  0  0 -1  0  0],-6.054029520985592
[ 1  0  0  0  0  0  0 -1  0],3.844286486106067
[ 1  0  0  0  0  0  0  0 -1],-5.736310912521
[ 1 -1  1 -1  0  0  0  0  0],-5.3144100000000005
[ 1 -1  1  0 -1  0  0  0  0],-5.3144100000000005
[ 1 -1  1  0  0 -1  0  0  0],-3.4867844010000004
[ 1 -1  1  0  0  0 -1  0  0],-5.845851000000001
[ 1 -1  1  0  0  0  0 -1  0],5.31441
[ 1 -1  1  0  0  0  0  0 -1],-5.845851000000001
[ 1 -1  1 -1  1 -1  0  0  0],-8.91
[ 1 -1  1 -1  1  0 -1  0  0],-5.3144100000000005
[ 1 -1  1 -1  1  0  0 -1  0],-8.1
[ 1 -1  1 -1  1  0  0  0 -1],-8.1
[ 1 -1  1 -1  1  0  0  0  0],-7.05707721
[ 1 -1  1  0  0  0  0  0  0],3.831158168999999
[1 0 0 0 0 0 0 0 0],3.1284993156512932
[ 1  1 -1 -1  0  0  0  0  0],-3.4867844010000004
[ 1  1 -1  0 -1  0  0  0  0],-5.3144100000000005
[ 1  1 -1  0  0 -1  0  0  0],-3.4867844010000004
[ 1  1 -1  0  0  0 -1  0  0],-2.9553434010000004
[ 1  1 -1  0  0  0  0 -1  0],-3.669546960900001
[ 1  1 -1  0  0  0  0  0 -1],-3.156382216890001
[ 1  1 -1 -1  1 -1  0  0  0],-5.3144100000000005
[ 1  1 -1 -1  1  0 -1  0  0],-5.3144100000000005
[ 1  1 -1 -1  1  0  0 -1  0],-8.1531441
[ 1  1 -1 -1  1  0  0  0 -1],-8.91
[ 1  1 -1 -1  1 -1  1 -1  0],-8.1
[ 1  1 -1 -1  1 -1  1  0 -1],8.991
[ 1  1 -1 -1  1 -1  1  0  0],5.9049
[ 1  1 -1 -1  1  0  0  0  0],-0.86093442
[ 1  1 -1  0  0  0  0  0  0],2.3522618105451905
[ 1  1  0 -1 -1  0  0  0  0],-8.1
[ 1  1  0 -1  0 -1  0  0  0],-8.1
[ 1  1  0 -1  0  0 -1  0  0],0
[ 1  1  0 -1  0  0  0 -1  0],0
[ 1  1  0 -1  0  0  0  0 -1],-6.4304361000000005
[ 1  1  0 -1  0  0  0  0  0],-7.2171
[ 1  1  0  0 -1 -1  0  0  0],-8.1
[ 1  1  0  0 -1  0 -1  0  0],0
[ 1  1  0  0 -1  0  0 -1  0],0
[ 1  1  0  0 -1  0  0  0 -1],-8.1
[ 1  1 -1  1 -1 -1  0  0  0],-8.1
[ 1  1 -1  1 -1  0 -1  0  0],8.991
[ 1  1 -1  1 -1  0  0 -1  0],-7.5685590000000005
[ 1  1 -1  1 -1  0  0  0 -1],5.3144100000000005
[ 1  1 -1  1 -1  0  0  0  0],6.561
[ 1  1  0  0 -1  0  0  0  0],-6.99146721
[ 1  1  0  0  0 -1 -1  0  0],-8.1
[ 1  1  0  0  0 -1  0 -1  0],0
[ 1  1  0  0  0 -1  0  0 -1],0
[ 1  1 -1  1  0 -1 -1  0  0],-5.3144100000000005
[ 1  1 -1  1  0 -1  0 -1  0],-8.1
[ 1  1 -1  1  0 -1  0  0 -1],0
[ 1  1 -1  1  1 -1 -1 -1  0],-8.1
[ 1  1 -1  1  1 -1 -1  0 -1],8.1
[ 1  1 -1  1  1 -1 -1  0  0],5.9049
[ 1  1 -1  1  0 -1  0  0  0],-4.3046721
[ 1  1  0  0  0 -1  0  0  0],-6.8434295364810005
[ 1  1  0  0  0  0 -1 -1  0],0
[ 1  1  0  0  0  0 -1  0 -1],0
[ 1  1 -1  1  0  0 -1 -1  0],5.845851000000001
[ 1  1 -1  1  0  0 -1  0 -1],0
[ 1  1 -1  1  0  0 -1  0  0],6.561
[ 1  1  0  0  0  0 -1  0  0],4.3046721
[-1  1  0  0  0  0  0  0  0],-5.972006394902905
[ 0  1 -1  0  0  0  0  0  0],-6.042038759785106
[ 0  1  0 -1  0  0  0  0  0],-5.845851000000001
[ 0  1  0  0 -1  0  0  0  0],-5.6630884401
[ 0  1  0  0  0 -1  0  0  0],-5.54317792454961
[ 0  1  0  0  0  0 -1  0  0],-5.759980791846676
[ 0  1  0  0  0  0  0 -1  0],-0.47829690000000014
[ 0  1  0  0  0  0  0  0 -1],-6.210792139223327
[-1  1  1 -1  0  0  0  0  0],-5.3144100000000005
[-1  1  1  0 -1  0  0  0  0],-3.6662950734210007
[-1  1  1  0  0 -1  0  0  0],-3.539928501
[-1  1  1  0  0  0 -1  0  0],-4.012683273845911
[-1  1  1  0  0  0  0 -1  0],-4.965731559900001
[-1  1  1  0  0  0  0  0 -1],-4.782969
[-1  1  1 -1  1 -1  0  0  0],-8.1
[-1  1  1 -1  1  0 -1  0  0],8.91
[-1  1  1 -1  1  0  0 -1  0],-8.1
[-1  1  1 -1  1  0  0  0 -1],-8.1
[-1  1  1 -1  1  0  0  0  0],6.561
[-1  1  1  0  0  0  0  0  0],4.889663147014689
[0 1 0 0 0 0 0 0 0],-0.43046721000000016
[ 1  1 -1  0  1 -1 -1  0  0],-8.1
[ 1  1 -1  0  1  0 -1 -1  0],-7.515414899999999
[ 1  1 -1  0  1  0 -1  0 -1],0
[ 1  1 -1 -1  1  1 -1 -1  0],-8.91
[ 1  1 -1 -1  1  1 -1  0 -1],-8.91
[ 1  1 -1 -1  1  1 -1  0  0],-8.010981000000001
[ 1  1 -1  0  1  0 -1  0  0],3.8742048900000006
[ 0  1  1 -1  0  0 -1  0  0],-8.1
[ 0  1  1  0 -1  0 -1  0  0],-8.1
[ 0  1  1  0  0 -1 -1  0  0],0
[ 0  1  1  0  0  0 -1 -1  0],0
[ 0  1  1  0  0  0 -1  0 -1],0
[-1  1  1  1 -1  0 -1  0  0],-5.3144100000000005
[-1  1  1  1  0 -1 -1  0  0],-5.3144100000000005
[-1  1  1  1  0  0 -1 -1  0],-0.0637729199999999
[-1  1  1  1  0  0 -1  0 -1],0
[-1  1  1  1 -1  1 -1 -1  0],-8.1
[-1  1  1  1 -1  1 -1  0 -1],8.1
[-1  1  1  1 -1  1 -1  0  0],5.9049
[-1  1  1  1  0  0 -1  0  0],5.122559799000001
[ 0  1  1  0  0  0 -1  0  0],-6.854649139581997
[ 1  1  0  0  0  0  0 -1 -1],0
[ 1  1 -1  1  0  0  0 -1 -1],-8.1
[ 1  1 -1  1 -1  1 -1 -1  0],8.991
[ 1  1 -1  1 -1  1  0 -1 -1],-8.1
[ 1  1 -1  1 -1  1  0 -1  0],6.561
[ 1  1 -1  1  0  0  0 -1  0],4.3046721
[ 1  1  0  0  0  0  0 -1  0],2.82429536481
[-1  0  1  0  0  0  0  0  0],4.216992530290027
[ 0 -1  1  0  0  0  0  0  0],-5.987970598291005
[ 0  0  1 -1  0  0  0  0  0],-5.3144100000000005
[ 0  0  1  0 -1  0  0  0  0],-5.3144100000000005
[ 0  0  1  0  0 -1  0  0  0],-5.77194584909922
[ 0  0  1  0  0  0 -1  0  0],-5.54317792454961
[ 0  0  1  0  0  0  0 -1  0],-4.243941446805039
[ 0  0  1  0  0  0  0  0 -1],-4.602555409320001
[-1  1  1  1 -1 -1  0  0  0],-0.5314410000000002
[-1  1  1  1 -1  0  0 -1  0],5.845851000000001
[-1  1  1  1 -1  0  0  0 -1],8.91
[-1  1  1  1 -1 -1  1 -1  0],-0.81
[-1  1  1  1 -1 -1  1  0 -1],0
[-1  1  1  1 -1 -1  1  0  0],-0.6561000000000001
[-1  1  1  1 -1  0  0  0  0],7.174053279000001
[0 0 1 0 0 0 0 0 0],3.6129208793061394
[ 1 -1  1  1 -1 -1  0  0  0],-8.1
[ 1 -1  1  1 -1  0 -1  0  0],5.3144100000000005
[ 1 -1  1  1 -1  0  0 -1  0],8.91
[ 1 -1  1  1 -1  0  0  0 -1],0
[ 1 -1  1  1 -1  0  0  0  0],-6.561
[ 1  0  1 -1 -1  0  0  0  0],-8.1
[ 1  0  1 -1  0 -1  0  0  0],-8.1
[ 1  0  1 -1  0  0 -1  0  0],-8.1
[ 1  0  1 -1  0  0  0 -1  0],0
[ 1  0  1 -1  0  0  0  0 -1],-5.845851000000001
[ 1  0  1 -1  0  0  0  0  0],-6.561
[ 1  0  1  0 -1 -1  0  0  0],-8.1
[ 1  0  1  0 -1  0 -1  0  0],-8.1
[ 1  0  1  0 -1  0  0 -1  0],0
[ 1  0  1  0 -1  0  0  0 -1],-8.1
[ 1  0  1  0 -1  0  0  0  0],-7.2171
[ 1  0  1  0  0 -1 -1  0  0],-8.1
[ 1  0  1  0  0 -1  0 -1  0],0
[ 1  0  1  0  0 -1  0  0 -1],0
[ 1 -1  1  1  0 -1 -1  0  0],-5.3144100000000005
[ 1 -1  1  1  0 -1  0 -1  0],0
[ 1 -1  1  1  0 -1  0  0 -1],0
[ 1 -1  1  1  1 -1 -1 -1  0],-8.91
[ 1 -1  1  1  1 -1 -1  0 -1],-0.891
[ 1 -1  1  1  1 -1 -1  0  0],-0.85293
[ 1 -1  1  1  0 -1  0  0  0],-4.3046721
[ 1  0  1  0  0 -1  0  0  0],-7.2453429536481
[ 1  0  1  0  0  0 -1 -1  0],0
[ 1  0  1  0  0  0  0 -1 -1],0
[ 1 -1  1  1  0  0 -1 -1  0],0
[ 1 -1  1  1  0  0  0 -1 -1],0
[ 1 -1  1  1  0  0  0 -1  0],6.561
[ 1  0  1  0  0  0  0 -1  0],4.3046721
[-1  0  0  1  0  0  0  0  0],-3.727291597364962
[ 0 -1  0  1  0  0  0  0  0],-5.3144100000000005
[ 0  0 -1  1  0  0  0  0  0],-4.680714437190001
[ 0  0  0  1 -1  0  0  0  0],4.653798755083971
[ 0  0  0  1  0 -1  0  0  0],-5.847909911320947
[ 0  0  0  1  0  0 -1  0  0],-3.9151060746585986
[ 0  0  0  1  0  0  0 -1  0],-4.164751273146039
[ 0  0  0  1  0  0  0  0 -1],-3.835462841100001
[-1  1 -1  1  0  0  0  0  0],-0.34867844010000015
[-1  1  0  1 -1  0  0  0  0],-0.11625856460099993
[-1  1  0  1  0 -1  0  0  0],0
[-1  1  0  1  0  0 -1  0  0],-5.018875659900001
[-1  1  0  1  0  0  0 -1  0],-0.5904900000000002
[-1  1  0  1  0  0  0  0 -1],4.782969
[-1  1 -1  1  1 -1  0  0  0],-0.5314410000000002
[-1  1 -1  1  1  0 -1  0  0],-8.1
[-1  1 -1  1  1  0  0 -1  0],-8.1
[-1  1 -1  1  1  0  0  0 -1],0
[-1  1 -1  1  1 -1  1 -1  0],-0.8991
