state,action
[1 0 0 0 0 0 0 0 0],-4.031392585311629
[0 1 0 0 0 0 0 0 0],-0.38742048900000015
[0 0 1 0 0 0 0 0 0],-4.42835751395792
[0 0 0 1 0 0 0 0 0],-4.700066996932867
[0 0 0 0 1 0 0 0 0],-4.428038924033005
[0 0 0 0 0 1 0 0 0],-4.376069170431181
[0 0 0 0 0 0 1 0 0],-4.661738375259979
[0 0 0 0 0 0 0 1 0],-4.329431287431075
[0 0 0 0 0 0 0 0 1],-4.014744585947998
[ 1 -1  1  0  0  0  0  0  0],-5.113626275790001
[ 1 -1  0  1  0  0  0  0  0],-3.2280009486450405
[ 1 -1  0  0  1  0  0  0  0],4.86420848706943
[ 1 -1  0  0  0  1  0  0  0],-3.505123039650885
[ 1 -1  0  0  0  0  1  0  0],-4.782969
[ 1 -1  0  0  0  0  0  1  0],-3.4867844010000004
[ 1 -1  0  0  0  0  0  0  1],-3.4867844010000004
[ 1 -1  1 -1  1  0  0  0  0],6.3008176401
[ 1 -1  1 -1  0  1  0  0  0],-0.42538769692200007
[ 1 -1  1 -1  0  0  1  0  0],-5.3144100000000005
[ 1 -1  1 -1  0  0  0  1  0],3.4867844010000004
[ 1 -1  1 -1  0  0  0  0  1],5.845851000000001
[ 1 -1  1 -1  1 -1  1  0  0],8.9991
[ 1 -1  1 -1  1 -1  0  1  0],5.3144100000000005
[ 1 -1  1 -1  1 -1  0  0  1],8.1
[ 1 -1  1 -1  1 -1  0  0  0],7.945371
[ 1 -1  1 -1  0  0  0  0  0],4.3046721
[ 1 -1  0  0  0  0  0  0  0],4.354214756922638
[0 0 0 0 0 0 0 0 0],-0.34867844010000015
[ 1  1 -1  0  0  0  0  0  0],-3.238166414749933
[ 1  0 -1  1  0  0  0  0  0],-4.965731559900001
[ 1  0 -1  0  1  0  0  0  0],-2.9093380363503902
[ 1  0 -1  0  0  1  0  0  0],-3.4867844010000004
[ 1  0 -1  0  0  0  1  0  0],4.9428547674450405
[ 1  0 -1  0  0  0  0  1  0],-3.2928843204603906
[ 1  0 -1  0  0  0  0  0  1],-2.6031781764990027
[ 1  1 -1 -1  1  0  0  0  0],0.0
[ 1  1 -1 -1  0  1  0  0  0],-5.3144100000000005
[ 1  1 -1 -1  0  0  1  0  0],-0.34867844010000015
[ 1  1 -1 -1  0  0  0  1  0],-5.3144100000000005
[ 1  1 -1 -1  0  0  0  0  1],0
[ 1  1 -1 -1  1 -1  1  0  0],-7.5685590000000005
[ 1  1 -1 -1  1 -1  0  1  0],8.1
[ 1  1 -1 -1  1 -1  0  0  1],8.1
[ 1  1 -1 -1  1 -1  1 -1  1],8.91
[ 1  1 -1 -1  1 -1  1 -1  0],6.561
[ 1  1 -1 -1  1 -1  0  0  0],4.3046721
[ 1  1 -1 -1  0  0  0  0  0],2.82429536481
[ 1  0 -1  0  0  0  0  0  0],3.7938581673840757
[ 1  1  0 -1  0  0  0  0  0],5.845851000000001
[ 1  0  1 -1  0  0  0  0  0],5.845851000000001
[ 1  0  0 -1  1  0  0  0  0],-2.72819609993404
[ 1  0  0 -1  0  1  0  0  0],-0.0851967874109143
[ 1  0  0 -1  0  0  1  0  0],-3.4867844010000004
[ 1  0  0 -1  0  0  0  1  0],3.3668738854496105
[ 1  0  0 -1  0  0  0  0  1],-3.7839180559784586
[ 1  1  1 -1 -1  0  0  0  0],8.91
[ 1  1  0 -1 -1  1  0  0  0],0
[ 1  1  0 -1 -1  0  1  0  0],-8.1
[ 1  1  0 -1 -1  0  0  1  0],0
[ 1  1  0 -1 -1  0  0  0  1],-5.845851000000001
[ 1  1  0 -1 -1  0  0  0  0],6.561
[ 1  0  0 -1  0  0  0  0  0],4.3046721
[ 1  1  0  0 -1  0  0  0  0],5.663088440100001
[ 1  0  1  0 -1  0  0  0  0],5.8989951000000005
[ 1  0  0  1 -1  0  0  0  0],-5.810983155990001
[ 1  0  0  0 -1  1  0  0  0],-3.6066949165503908
[ 1  0  0  0 -1  0  1  0  0],-3.835462841100001
[ 1  0  0  0 -1  0  0  1  0],-0.22876792454961012
[ 1  0  0  0 -1  0  0  0  1],-4.983037478659048
[ 1  1 -1  1 -1  0  0  0  0],-7.5685590000000005
[ 1  1 -1  0 -1  1  0  0  0],-5.845851000000001
[ 1  1 -1  0 -1  0  1  0  0],0
[ 1  1 -1  0 -1  0  0  1  0],0
[ 1  1 -1  0 -1  0  0  0  1],-5.3144100000000005
[ 1  1 -1  1 -1 -1  1  0  0],8.91
[ 1  1 -1  1 -1 -1  0  1  0],0
[ 1  1 -1  1 -1 -1  0  0  1],-8.1
[ 1  1 -1  1 -1 -1  0  0  0],6.561
[ 1  1 -1  0 -1  0  0  0  0],4.3046721
[ 1  0  0  0 -1  0  0  0  0],5.060615567481001
[ 1  1  0  0  0 -1  0  0  0],5.54317792454961
[ 1  0  1  0  0 -1  0  0  0],6.453312892454962
[ 1  0  0  1  0 -1  0  0  0],0
[ 1  0  0  0  1 -1  0  0  0],-4.230020051288999
[ 1  0  0  0  0 -1  1  0  0],-2.8744701923403904
[ 1  0  0  0  0 -1  0  1  0],-0.2516447170045711
[ 1  0  0  0  0 -1  0  0  1],-4.940567088199545
[ 1  1 -1  1  0 -1  0  0  0],3.4867844010000004
[ 1  1 -1  0  1 -1  0  0  0],-7.5685590000000005
[ 1  1 -1  0  0 -1  1  0  0],-4.965731559900001
[ 1  1 -1  0  0 -1  0  1  0],0
[ 1  1 -1  0  0 -1  0  0  1],5.3144100000000005
[ 1  1 -1  1  1 -1 -1  0  0],-7.5685590000000005
[ 1  1 -1  1  0 -1 -1  1  0],0
[ 1  1 -1  1  0 -1 -1  0  1],0
[ 1  1 -1  1  1 -1 -1 -1  1],8.991
[ 1  1 -1  1  1 -1 -1 -1  0],6.561
[ 1  1 -1  1  0 -1 -1  0  0],4.3046721
[ 1  1 -1  0  0 -1  0  0  0],2.82429536481
[ 1  0  0  0  0 -1  0  0  0],5.412485461773704
[ 1  1  0  0  0  0 -1  0  0],-5.3144100000000005
[ 1  0  1  0  0  0 -1  0  0],6.22939728411
[ 1  0  0  1  0  0 -1  0  0],-3.2580164764503907
[ 1  0  0  0  1  0 -1  0  0],-3.4867844010000004
[ 1  0  0  0  0  1 -1  0  0],-4.935762961784
[ 1  0  0  0  0  0 -1  1  0],-0.25393239625006714
[ 1  0  0  0  0  0 -1  0  1],-4.927376931489001
[ 1  1 -1  1  0  0 -1  0  0],-8.1
[ 1  1 -1  0  1  0 -1  0  0],-4.965731559900001
[ 1  1 -1  0  0  1 -1  0  0],4.567687565310001
[ 1  1 -1  0  0  0 -1  1  0],0
[ 1  1 -1  0  0  0 -1  0  1],-7.5685590000000005
[ 1  1 -1  0  0  0 -1  0  0],2.1681953648100016
[ 1  0  0  0  0  0 -1  0  0],5.319264661447175
[-1  1  1  0  0  0  0  0  0],-6.005571453229216
[-1  1  0  1  0  0  0  0  0],-0.6254319876614649
[-1  1  0  0  1  0  0  0  0],6.1123283898523
[-1  1  0  0  0  1  0  0  0],-0.22876792454961012
[-1  1  0  0  0  0  1  0  0],-3.6066949165503908
[-1  1  0  0  0  0  0  1  0],-3.2580164764503907
[-1  1  0  0  0  0  0  0  1],-3.4867844010000004
[-1  1  1 -1  1  0  0  0  0],-7.5685590000000005
[-1  1  1 -1  0  1  0  0  0],-5.845851000000001
[-1  1  1 -1  0  0  1  0  0],6.1945294401
[-1  1  1 -1  0  0  0  1  0],-8.1
[-1  1  1 -1  0  0  0  0  1],-5.3144100000000005
[-1  1  1 -1  1 -1  1  0  0],8.991
[-1  1  1 -1  1 -1  0  1  0],8.1
[-1  1  1 -1  1 -1  0  0  1],-8.1
[-1  1  1 -1  1 -1  0  0  0],6.561
[-1  1  1 -1  0  0  0  0  0],4.3046721
[-1  1  0  0  0  0  0  0  0],5.228000132056835
[ 0  1 -1  1  0  0  0  0  0],3.835462841100001
[ 0  1 -1  0  1  0  0  0  0],-0.0025164471700460968
[ 0  1 -1  0  0  1  0  0  0],-5.06276528299543
[ 0  1 -1  0  0  0  1  0  0],-0.25416116417461687
[ 0  1 -1  0  0  0  0  1  0],5.813270835235496
[ 0  1 -1  0  0  0  0  0  1],-0.6028650226787137
[ 1  1 -1 -1  1  1 -1  0  0],7.073479710000001
